ID,status,sentence,sparqlQald
4,Not Parsed,In which U.S. state is Area 51 located?,N
6,Not Parsed,Which countries have places with more than two caves?,N
9,Parsed,Give me all actors starring in movies directed by and starring William Shatner.,SELECT ?Answer WHERE { http://dbpedia.org/resource/Lee_In_(actor) <http://dbpedia.org/ontology/alias> ?Answer .}
12,Parsed,Which movies starring Brad Pitt were directed by Guy Ritchie?,SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/director> <http://dbpedia.org/resource/Guy_Ritchie> .}
13,Not Parsed,Give me the grandchildren of Bruce Lee.,N
14,Parsed,Which other weapons did the designer of the Uzi develop?,SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/developer> http://dbpedia.org/resource/Wizards_of_the_Coast .}
16,Not Parsed,Which state of the USA has the highest population density?,N
17,Parsed,Which monarchs were married to a German?,SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/spouse> http://dbpedia.org/resource/Mike_German .}
21,Parsed,Who wrote the book The pillars of the Earth?,SELECT ?Answer WHERE { <http://dbpedia.org/resource/The_Pillars_of_the_Earth> <http://dbpedia.org/ontology/author> ?Answer .}
22,Not Parsed,Which state of the United States of America has the highest density?,N
23,Not Parsed,Which spaceflights were launched from Baikonur?,N
24,Not Parsed,Give me a list of all trumpet players that were bandleaders.,N
25,Not Parsed,Which U.S. states are in the same timezone as Utah?,N
26,Not Parsed,Which U.S. states possess gold minerals?,N
27,Parsed,Who is the daughter of Ingrid Bergman married to?,SELECT ?Answer WHERE { http://dbpedia.org/resource/Ingrid_Bergman <http://dbpedia.org/ontology/child> ?Answer .}
29,Parsed,Show me all museums in London.,SELECT ?Answer WHERE { http://dbpedia.org/resource/Westfield_London <http://dbpedia.org/ontology/location> ?Answer .}
30,Not Parsed,Which caves have more than 3 entrances?,N
32,Not Parsed,What are the top-10 action role-playing video games according to IGN?,N
34,Not Parsed,Show me all basketball players that are higher than 2 meters.,N
35,Not Parsed,When was the Statue of Liberty built?,N
40,Parsed,Give all swimmers that were born in Moscow.,SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/birthPlace> <http://dbpedia.org/resource/Moscow> .}
41,Not Parsed,Give me all cosmonauts.,N
44,Not Parsed,What kind of music did Lou Reed play?,N
45,Not Parsed,Where do the Red Sox play?,N
46,Not Parsed,Show a list of soccer clubs that play in the Bundesliga.,N
47,Not Parsed,Which volcanos in Japan erupted since 2000?,N
50,Not Parsed,How many films did Hal Roach produce?,N
51,Parsed,Give me all Danish movies.,SELECT ?Answer WHERE { http://dbpedia.org/resource/Nora_Danish <http://dbpedia.org/ontology/alias> ?Answer .}
