QALD id,match status,QALD question,QueGG question,comment,QALD SPARQL query,QueGG SPARQL query,TP,FP,FN,Precision,Recall,F-Measure
0,0.9318181818,┬┐Cu├índo tuvo lugar la batalla de Gettysburg?,"""┬┐Cu├índo se tuvo lugar Batalla de Gettysburg?""",,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?date 
WHERE { 
 res:Battle_of_Gettysburg dbo:date ?date .
}","select ?o 

{

 <http://dbpedia.org/resource/Battle_of_Gettysburg> <http://dbpedia.org/property/date> ?o . 

}",1,0,0,1,1,1
1,0.8095238095,Dame todos los musicales con m├║sica de Elton John.,"""Dame todos musicales de Elton John""",,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> 
SELECT DISTINCT ?uri
WHERE { 
 ?uri rdf:type dbo:Musical .
 ?uri dbo:musicBy res:Elton_John .
}","select ?s 

{

 ?s <http://dbpedia.org/ontology/musicBy> <http://dbpedia.org/resource/Elton_John> . 

}",4,0,0,1,1,1
2,0.9142857143,┬┐C├│mo de alta el faro de Colombo?,"""┬┐C├│mo de m´┐¢s alta es Faro de Colombo?""",,SELECT DISTINCT ?num WHERE { <http://dbpedia.org/resource/Colombo_Lighthouse> <http://dbpedia.org/ontology/height> ?num . },"select ?o 

{

 <http://dbpedia.org/resource/Colombo_Lighthouse> <http://dbpedia.org/ontology/height> ?o . 

}",1,0,0,1,1,1
3,0,┬┐Qui├®n fu├® la mujer del presidente americano Lincoln?,,,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE {
 res:Abraham_Lincoln dbo:spouse ?uri.
}",,0,1,1,0,0,0
4,0,┬┐Qui├®n es el anfitri├│n de los especiales de la BBC Wildlife?,,,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/BBC_Wildlife_Specials> <http://dbpedia.org/ontology/presenter> ?uri . },,0,1,1,0,0,0
5,0.962962963,┬┐Cuanto costo Pulp Fiction?,"""┬┐Cuanto cost´┐¢ Pulp Fiction?""",,SELECT DISTINCT ?n WHERE { <http://dbpedia.org/resource/Pulp_Fiction> <http://dbpedia.org/ontology/budget> ?n . },"select ?o 

{

 <http://dbpedia.org/resource/Pulp_Fiction> <http://dbpedia.org/ontology/budget> ?o . 

}",1,0,0,1,1,1
6,0,┬┐En qu├® ciudad esta la f├íbrica de cerveza Heineken?,,,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Heineken> <http://dbpedia.org/ontology/manufacturer> ?x . ?x <http://dbpedia.org/ontology/locationCity> ?uri . },,0,1,1,0,0,0
7,0,┬┐Cu├índo comenz├│ la operaci├│n Overlord?,,,SELECT DISTINCT ?d WHERE { <http://dbpedia.org/resource/Operation_Overlord> <http://dbpedia.org/ontology/date> ?d . },,0,1,1,0,0,0
8,0,┬┐En que ciudad termina la ruta Chilena 68?,,,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Chile_Route_68> <http://dbpedia.org/ontology/routeEnd> ?uri . },,0,1,1,0,0,0
9,0.8510638298,┬┐Quien desarroll├│ Slack?,"""┬┐Qu├® desarrollar Slack?""",,SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/product> <http://dbpedia.org/resource/Slack_(software)> . },"select ?s 

{

 ?s <http://dbpedia.org/ontology/product> <http://dbpedia.org/resource/Slack_(software)> . 

}",0,1,1,0,0,0
