ID,status,sentence,sparqlQald
4,Not Parsed,In which U.S. state is Area 51 located?,N
6,Not Parsed,Which countries have places with more than two caves?,N
13,Not Parsed,Give me the grandchildren of Bruce Lee.,N
16,Not Parsed,Which state of the USA has the highest population density?,N
22,Not Parsed,Which state of the United States of America has the highest density?,N
24,Not Parsed,Give me a list of all trumpet players that were bandleaders.,N
25,Not Parsed,Which U.S. states are in the same timezone as Utah?,N
26,Not Parsed,Which U.S. states possess gold minerals?,N
30,Not Parsed,Which caves have more than 3 entrances?,N
32,Not Parsed,What are the top-10 action role-playing video games according to IGN?,N
39,Not Parsed,What movies does Jesse Eisenberg play in?,N
41,Not Parsed,Give me all cosmonauts.,N
44,Not Parsed,What kind of music did Lou Reed play?,N
45,Not Parsed,Where do the Red Sox play?,N
46,Not Parsed,Show a list of soccer clubs that play in the Bundesliga.,N
47,Not Parsed,Which volcanos in Japan erupted since 2000?,N
50,Not Parsed,How many films did Hal Roach produce?,N
52,Not Parsed,What is the most frequent cause of death?,N
53,Not Parsed,Who are the four youngest MVP basketball players?,N
54,Not Parsed,Give me all companies in Munich.,N
55,Not Parsed,Give me the capitals of all countries that the Himalayas run through.,N
56,Not Parsed,How many movies did Park Chan-wook direct?,N
58,Not Parsed,How many airlines are there?,N
59,Not Parsed,Give me all islands that belong to Japan.,N
60,Not Parsed,How many inhabitants does Maribor have?,N
62,Not Parsed,Which companies have more than 1 million employees?,N
64,Not Parsed,Give me all soccer clubs in the Premier League.,N
65,Not Parsed,What is the highest place of the Urals?,N
66,Not Parsed,Who is the governor of Wyoming?,N
68,Not Parsed,Give me all world heritage sites designated within the past two years.,N
73,Not Parsed,Give me all ESA astronauts.,N
74,Not Parsed,Who was president of Pakistan in 1978?,N
75,Not Parsed,Who is the owner of Rolls-Royce?,N
77,Not Parsed,Where was JFK assassinated?,N
78,Not Parsed,Give me all federal chancellors of Germany.,N
79,Not Parsed,Show me everyone who was born on Halloween.,N
81,Not Parsed,To which countries does the Himalayan mountain system extend?,N
82,Not Parsed,Which actors were born in Germany?,N
83,Not Parsed,How much carbs does peanut butter have?,N
84,Parsed,Who produced the most films?,SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/product> http://dbpedia.org/resource/Films .}
85,Not Parsed,How many employees does Google have?,N
87,Not Parsed,Who created Goofy?,N
88,Not Parsed,Which music albums contain the song Last Christmas?,N
89,Not Parsed,When was Alberta admitted as province?,N
92,Not Parsed,When were the Hells Angels founded?,N
95,Not Parsed,In which city was the former Dutch queen Juliana buried?,N
97,Not Parsed,Give me all companies in the advertising industry.,N
98,Not Parsed,What is the largest metropolitan area in Washington state?,N
