"ID","status","sentence","sparqlQald"
"1","N","List all boardgames by GMT.","N"
"2","WORK","Who developed Skype?","SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/product> <http://dbpedia.org/resource/Skype> .}"
"3","WORK","Which people were born in Heraklion?","SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/birthPlace> ?Arg .}"
"4","N","In which U.S. state is Area 51 located?","N"
"5","WORK","Who is the mayor of New York City?","SELECT ?Answer WHERE { <http://dbpedia.org/resource/New_York_City> <http://dbpedia.org/ontology/leaderName> ?Answer .}"
"6","N","Which countries have places with more than two caves?","N"
"7","WORK","Where did Abraham Lincoln die?","SELECT ?Answer WHERE { <http://dbpedia.org/resource/Abraham_Lincoln> <http://dbpedia.org/ontology/deathPlace> ?Answer .}"
"8","WORK","Which airports does Air China serve?","SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/targetAirport> http://dbpedia.org/resource/China . ?Answer <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>   <http://dbpedia.org/ontology/Airport>.}"
"9","WORK","Give me all actors starring in movies directed by and starring William Shatner.","SELECT ?Answer WHERE { ?Arg <http://dbpedia.org/ontology/starring> ?Answer . ?Answer <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>   <http://dbpedia.org/ontology/Actor>.}"
"10","WORK","What are the official languages of the Philippines?","SELECT ?Answer WHERE { <http://dbpedia.org/resource/Philippines> <http://dbpedia.org/ontology/officialLanguage> ?Answer .}"
"11","N","Give me all Danish films.","N"
"12","WORK","Which movies starring Brad Pitt were directed by Guy Ritchie?","SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/director> ?Arg .}"
"13","N","Give me the grandchildren of Bruce Lee.","N"
"14","WORK","Which other weapons did the designer of the Uzi develop?","SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/developer> ?Arg .}"
"15","WORK","Who is the owner of Universal Studios?","SELECT ?Answer WHERE { <http://dbpedia.org/resource/Universal_Studios> <http://dbpedia.org/ontology/owner> ?Answer .}"
"16","N","Which state of the USA has the highest population density?","N"
"17","WORK","Which monarchs were married to a German?","SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/spouse> http://dbpedia.org/resource/Mike_German . ?Answer <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>   <http://dbpedia.org/ontology/Monarch>.}"
