LemonEntry,partOfSpeech,writtenFormInfinitive/2ndPerson,writtenForm3rdPerson,writtenFormPast,writtenFormPerfect,SyntacticFrame,subject,directObject,sense,reference,domain,range,domainArticleSingular,domainWrittenSingular,domainWrittenPlural,rangeArticleSingular,rangeWrittenSingular,rangeWrittenPlural,passivePreposition
desarrollar_1,verb,desarrollar,desarrolla,desarroll¢,desarrollado,TransitiveFrame,domain,range,1,dbo:product,dbo:Company,dbo:Software,feminine,compa¤ia,compa¤ias,masculine,software,-,por
exhibit,verb,exhibit,exhibe,exhibi¢,exhibido,TransitiveFrame,range,domain,1,dbo:museum,dbo:Artwork,dbo: Museum,feminine,obra de arte,obras de arte,masculine,museo,museos,por
descubrir,verb,descubrir,descubre,descubri¢,descubierto,TransitiveFrame,range,domain,1,dbo:discoverer,dbo:Planet,dbo:Person,masculine,planeta,planetas,feminine,ciudad,ciudades,por
cruzar,verb,cruzar,cruza,cruz¢,cruzado,TransitiveFrame,range,domain,1,dbo:crosses,dbo:Bridge,dbo:River,masculine,puente,puentes,masculine,r¡o,r¡os,por
ganar,verb,ganar,gana,gan¢,ganado,TransitiveFrame,range,domain,1,dbo:award,dbo:Scientist,dbo:Award,masculine,cient¡fico,cient¡ficos,masculine,premio,premios,por
crear_1,verb,crear,crea,cre¢,creado,TransitiveFrame,range,domain,1,dbo:creator,dbo:TelevisionShow,dbo:Agent,feminine,serie televisiva,series televisivas,masculine,agente,agentes,por
crear_2,verb,ide¢,ide¢,ide¢,ide¢,TransitiveFrame,range,domain,1,dbo:creator,dbo:TelevisionShow,dbo:Person,feminine,serie televisiva,series televisivas,feminine,persona,personas,por
crear_3,verb,crear,crea,cre¢,creado,TransitiveFrame,range,domain,1,dbo:author,dbo:Website,dbo:Agent,masculine,sitio web,sitio web,masculine,agente,agentes,por
actuado,verb,actuado,actuado,actuado,actuado,TransitiveFrame,range,domain,5,dbo:starring,dbo:Film,dbo:Person,feminine,pel¡cula,pel¡culas,masculine,actor,actores,por
operate_1,verb,operar,opera,oper¢,operado,TransitiveFrame,range,domain,1,dbo:operator,dbo:LaunchPad,dbo:Organisation,feminine,plataforma de lanzamiento,plataformas de lanzamiento,feminine,organizaci¢n,organizaciones,por
play_1,verb,interpreto,interpreto,interpreto,interpreto,TransitiveFrame,range,domain,1,dbo:portrayer,dbo:FictionalCharacter,dbo:Person,masculine,car cter ficticio,caracteres ficticios,feminine,ciudad,ciudades,por
